Symbol,Name,Sector
A,Agilent Technologies,Health Care
AAL,American Airlines Group,Industrials
AAPL,Apple Inc.,Information Technology
ABBV,AbbVie,Health Care
ABNB,Airbnb,Consumer Discretionary
ABT,Abbott Laboratories,Health Care
ACGL,Arch Capital Group,Financials
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
ADI,Analog Devices,Information Technology
ADM,Archer-Daniels-Midland,Consumer Staples
ADSK,Autodesk,Information Technology
ADT,ADT Inc.,Industrials
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AES,AES Corporation,Utilities
AFL,Aflac,Financials
AIG,American International Group,Financials
AIZ,Assurant,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ALGN,Align Technology,Health Care
ALXN,Alexion Pharmaceuticals,Health Care
ALL,Allstate,Financials
ALLE,Allegion,Industrials
AMAT,Applied Materials,Information Technology
AMCR,Amcor,Materials
AMD,Advanced Micro Devices,Information Technology
AME,Ametek,Industrials
AMGN,Amgen,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
ANET,Arista Networks,Information Technology
ANSS,Ansys,Information Technology
AON,Aon plc,Financials
AOS,A. O. Smith,Industrials
APA,APA Corporation,Energy
APD,Air Products,Materials
APH,Amphenol,Information Technology
APO,Apollo Global Management,Financials
APP,AppLovin Corp,Information Technology
APTV,Aptiv,Consumer Discretionary
ARE,Alexandria Real Estate Equities,Real Estate
ATO,Atmos Energy,Utilities
AVB,AvalonBay Communities,Real Estate
AVGO,Broadcom Inc.,Information Technology
AVY,Avery Dennison,Materials
AWK,American Water Works,Utilities
AXON,Axon Enterprise,Industrials
AXP,American Express,Financials
AZO,AutoZone,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America,Financials
BALL,Ball Corporation,Materials
BAX,Baxter International,Health Care
BBY,Best Buy,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources,Financials
BF.B,Brown-Forman,Consumer Staples
BIIB,Biogen,Health Care
BIO,Bio-Rad Laboratories,Health Care
BK,BNY Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
BLDR,Builders FirstSource,Industrials
BLK,BlackRock,Financials
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Information Technology
BRK.B,Berkshire Hathaway,Financials
BRO,Brown & Brown,Financials
BSX,Boston Scientific,Health Care
BXP,BXP Inc.,Real Estate
C,Citigroup,Financials
CAG,Conagra Brands,Consumer Staples
CAH,Cardinal Health,Health Care
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CB,Chubb Limited,Financials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CCI,Crown Castle,Real Estate
CCK,Crown Holdings,Materials
CCL,Carnival Corporation,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CE,Celanese,Materials
CEG,Constellation Energy,Utilities
CF,CF Industries,Materials
CFG,Citizens Financial Group,Financials
CHD,Church & Dwight,Consumer Staples
CHRW,C.H. Robinson,Industrials
CHTR,Charter Communications,Communication Services
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMA,Comerica,Financials
CMCSA,Comcast,Communication Services
CME,CME Group,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins,Industrials
CMS,CMS Energy,Utilities
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
COF,Capital One,Financials
COO,The Cooper Companies,Health Care
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CPRT,Copart,Industrials
CPAY,Corpay,Financials
CPT,Camden Property Trust,Real Estate
CRL,Charles River Laboratories,Health Care
CRM,Salesforce,Information Technology
CRWD,CrowdStrike,Information Technology
CSCO,Cisco,Information Technology
CSGP,CoStar Group,Real Estate
CSX,CSX Corporation,Industrials
CTAS,Cintas,Industrials
CTRA,Coterra,Energy
CTSH,Cognizant,Information Technology
CTVA,Corteva,Materials
CVS,CVS Health,Health Care
CVX,Chevron Corporation,Energy
CZR,Caesars Entertainment,Consumer Discretionary
D,Dominion Energy,Utilities
DAL,Delta Air Lines,Industrials
DD,DuPont,Materials
DE,Deere & Company,Industrials
DELL,Dell Technologies,Information Technology
DFS,Discover Financial Services,Financials
DG,Dollar General,Consumer Discretionary
DGX,Quest Diagnostics,Health Care
DHI,D.R. Horton,Consumer Discretionary
DHR,Danaher Corporation,Health Care
DIS,Walt Disney Company,Communication Services
DAY,Dayforce,Information Technology
DLR,Digital Realty,Real Estate
DLTR,Dollar Tree,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DPZ,Domino's,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DVA,DaVita,Health Care
DVN,Devon Energy,Energy
DXCM,Dexcom,Health Care
EA,Electronic Arts,Communication Services
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
ED,Consolidated Edison,Utilities
EFX,Equifax,Industrials
EG,Everest Group,Financials
EIX,Edison International,Utilities
EL,Estée Lauder Companies,Consumer Staples
ELV,Elevance Health,Health Care
EMN,Eastman Chemical,Materials
EMR,Emerson Electric,Industrials
ENPH,Enphase Energy,Information Technology
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Information Technology
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
EQT,EQT Corporation,Energy
ES,Eversource Energy,Utilities
ESS,Essex Property Trust,Real Estate
ETN,Eaton Corporation,Industrials
ETR,Entergy,Utilities
ETSY,Etsy,Consumer Discretionary
EVRG,Evergy,Utilities
EW,Edwards Lifesciences,Health Care
EXC,Exelon,Utilities
EXPD,Expeditors International,Industrials
EXPE,Expedia Group,Consumer Discretionary
EXR,Extra Space Storage,Real Estate
F,Ford Motor Company,Consumer Discretionary
FANG,Diamondback Energy,Energy
FAST,Fastenal,Industrials
FTNT,Fortinet,Information Technology
FCX,Freeport-McMoRan,Materials
FDS,FactSet,Financials
FDX,FedEx,Industrials
FE,FirstEnergy,Utilities
FFIV,F5 Inc.,Information Technology
FI,Fiserv,Information Technology
FICO,Fair Isaac,Information Technology
FIS,FIS,Information Technology
FITB,Fifth Third Bank,Financials
FLT,Fleetcor,Financials
FMC,FMC Corporation,Materials
FOX,Fox Corporation (Class B),Communication Services
FOXA,Fox Corporation (Class A),Communication Services
FRT,Federal Realty,Real Estate
FSLR,First Solar,Information Technology
FTV,Fortive,Industrials
GD,General Dynamics,Industrials
GE,GE Aerospace,Industrials
GEV,GE Vernova,Industrials
GILD,Gilead Sciences,Health Care
GIS,General Mills,Consumer Staples
GL,Globe Life,Financials
GLW,Corning Inc.,Information Technology
GM,General Motors,Consumer Discretionary
GNRC,Generac,Industrials
GOOG,Alphabet Inc. (Class C),Communication Services
GOOGL,Alphabet Inc. (Class A),Communication Services
GPC,Genuine Parts Company,Consumer Discretionary
GPN,Global Payments,Financials
GRMN,Garmin,Consumer Discretionary
GS,Goldman Sachs,Financials
GWW,W.W. Grainger,Industrials
HAL,Halliburton,Energy
HAS,Hasbro,Consumer Discretionary
HBAN,Huntington Bancshares,Financials
HCA,HCA Healthcare,Health Care
HD,Home Depot,Consumer Discretionary
HES,Hess Corporation,Energy
HIG,Hartford Financial Services,Financials
HII,Huntington Ingalls Industries,Industrials
HLT,Hilton Worldwide,Consumer Discretionary
HOLX,Hologic,Health Care
HON,Honeywell,Industrials
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP Inc.,Information Technology
HRL,Hormel Foods,Consumer Staples
HSIC,Henry Schein,Health Care
HST,Host Hotels & Resorts,Real Estate
HSY,The Hershey Company,Consumer Staples
HUM,Humana,Health Care
IBM,IBM,Information Technology
ICE,Intercontinental Exchange,Financials
IDXX,Idexx Laboratories,Health Care
IEX,IDEX Corporation,Industrials
IFF,International Flavors & Fragrances,Materials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
INVH,Invitation Homes,Real Estate
IP,International Paper,Materials
IPG,Interpublic Group,Communication Services
IQV,IQVIA,Health Care
IR,Ingersoll Rand,Industrials
IRM,Iron Mountain,Real Estate
ISRG,Intuitive Surgical,Health Care
IT,Gartner,Information Technology
ITW,Illinois Tool Works,Industrials
IVZ,Invesco,Financials
J,Jacobs Solutions,Industrials
JBHT,J.B. Hunt,Industrials
JBL,Jabil,Information Technology
JCI,Johnson Controls,Industrials
JKHY,Jack Henry & Associates,Information Technology
JNJ,Johnson & Johnson,Health Care
JNPR,Juniper Networks,Information Technology
JPM,JPMorgan Chase,Financials
K,Kellogg Company,Consumer Staples
KDP,Keurig Dr Pepper,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight,Information Technology
KHC,Kraft Heinz,Consumer Staples
KIM,Kimco Realty,Real Estate
KLAC,KLA Corporation,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KMI,Kinder Morgan,Energy
KMX,CarMax,Consumer Discretionary
KO,Coca-Cola Company,Consumer Staples
KR,Kroger,Consumer Staples
KVUE,Kenvue,Health Care
L,Loews Corporation,Financials
LDOS,Leidos,Industrials
LEN,Lennar,Consumer Discretionary
LH,LabCorp,Health Care
LHX,L3Harris,Industrials
LIN,Linde plc,Materials
LKQ,LKQ Corporation,Consumer Discretionary
LLY,Eli Lilly & Co.,Health Care
LMT,Lockheed Martin,Industrials
LNT,Alliant Energy,Utilities
LOW,Lowe's,Consumer Discretionary
LRCX,Lam Research,Information Technology
LULU,Lululemon Athletica,Consumer Discretionary
LUV,Southwest Airlines,Industrials
LVNT,Levanton,Industrials
LYB,LyondellBasell,Materials
LYV,Live Nation Entertainment,Consumer Discretionary
MA,Mastercard,Financials
MAA,Mid-America Apartment Communities,Real Estate
MAR,Marriott International,Consumer Discretionary
MAS,Masco,Industrials
MCD,McDonald's,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MCK,McKesson,Health Care
MCO,Moody's Corporation,Financials
MDLZ,Mondelēz International,Consumer Staples
MDT,Medtronic,Health Care
MET,MetLife,Financials
META,Meta Platforms,Communication Services
MGM,MGM Resorts,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
MKC,McCormick & Company,Consumer Staples
MKTX,MarketAxess,Financials
MLM,Martin Marietta Materials,Materials
MMC,Marsh & McLennan,Financials
MMM,3M,Industrials
MNST,Monster Beverage,Consumer Staples
MO,Altria,Consumer Staples
MOH,Molina Healthcare,Health Care
MOS,The Mosaic Company,Materials
MPC,Marathon Petroleum,Energy
MPWR,Monolithic Power Systems,Information Technology
MRK,Merck & Co.,Health Care
MRNA,Moderna,Health Care
BRO,Brown & Brown,Financials
MS,Morgan Stanley,Financials
MSCI,MSCI Inc.,Financials
MSFT,Microsoft,Information Technology
MSI,Motorola Solutions,Information Technology
MTB,M&T Bank,Financials
MTD,Mettler Toledo,Health Care
MU,Micron Technology,Information Technology
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NDAQ,Nasdaq, Inc.,Financials
NDSN,Nordson Corporation,Industrials
NEE,NextEra Energy,Utilities
NEM,Newmont,Materials
NFLX,Netflix,Communication Services
NI,NiSource,Utilities
NKE,Nike, Inc.,Consumer Discretionary
NOC,Northrop Grumman,Industrials
NOW,ServiceNow,Information Technology
NRG,NRG Energy,Utilities
NSC,Norfolk Southern,Industrials
NTAP,NetApp,Information Technology
NTRS,Northern Trust,Financials
NUE,Nucor,Materials
NVDA,Nvidia,Information Technology
NVR,NVR, Inc.,Consumer Discretionary
NXT,Nextracker,Information Technology
O,Realty Income,Real Estate
ODFL,Old Dominion Freight Line,Industrials
OKE,ONEOK,Energy
OMC,Omnicom Group,Communication Services
ON,Onsemi,Information Technology
ORCL,Oracle Corporation,Information Technology
ORLY,O'Reilly Auto Parts,Consumer Discretionary
OSTE,Osteonics,Health Care
OTIS,Otis Worldwide,Industrials
OXY,Occidental Petroleum,Energy
PANW,Palo Alto Networks,Information Technology
PARA,Paramount Global,Communication Services
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PBCT,People's United Financial,Financials
PCAR,Paccar,Industrials
PCG,PG&E Corporation,Utilities
PEAK,Healthpeak Properties,Real Estate
PEG,Public Service Enterprise Group,Utilities
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corporation,Financials
PH,Parker Hannifin,Industrials
PHM,PulteGroup,Consumer Discretionary
PKG,Packaging Corporation of America,Materials
PLTR,Palantir Technologies,Information Technology
PKI,PerkinElmer,Health Care
PLD,Prologis,Real Estate
PM,Philip Morris International,Consumer Staples
PNC,PNC Financial Services,Financials
PNR,Pentair,Industrials
PNW,Pinnacle West,Utilities
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PRU,Prudential Financial,Financials
PSA,Public Storage,Real Estate
PSX,Phillips 66,Energy
PTC,PTC Inc.,Information Technology
PWR,Quanta Services,Industrials
PX,Praxair,Materials
PXD,Pioneer Natural Resources,Energy
PYPL,PayPal,Financials
QCOM,Qualcomm,Information Technology
QRVO,Qorvo,Information Technology
RCL,Royal Caribbean Group,Consumer Discretionary
REG,Regency Centers,Real Estate
REGN,Regeneron,Health Care
RF,Regions Financial Corporation,Financials
RHI,Robert Half,Industrials
RIG,Transocean,Energy
RJF,Raymond James,Financials
RL,Ralph Lauren Corporation,Consumer Discretionary
RMD,ResMed,Health Care
ROK,Rockwell Automation,Industrials
ROL,Rollins, Inc.,Industrials
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
RPRX,Royalty Pharma,Health Care
RSG,Republic Services,Industrials
RTX,RTX Corporation,Industrials
RVTY,Revvity,Health Care
SBAC,SBA Communications,Real Estate
SBUX,Starbucks,Consumer Discretionary
SCHW,Charles Schwab Corporation,Financials
SHW,Sherwin-Williams,Materials
SIRI,Sirius XM,Communication Services
SJM,J.M. Smucker,Consumer Staples
SLB,Schlumberger,Energy
SNA,Snap-on,Industrials
SNPS,Synopsys,Information Technology
SO,Southern Company,Utilities
SPG,Simon Property Group,Real Estate
SPGI,S&P Global,Financials
SPLK,Splunk,Information Technology
SRE,Sempra Energy,Utilities
STE,Steris,Health Care
STLD,Steel Dynamics,Materials
STT,State Street Corporation,Financials
STX,Seagate Technology,Information Technology
STZ,Constellation Brands,Consumer Staples
SWK,Stanley Black & Decker,Industrials
SWKS,Skyworks Solutions,Information Technology
SYF,Synchrony Financial,Financials
SYK,Stryker Corporation,Health Care
SYY,Sysco,Consumer Staples
T,AT&T,Communication Services
TAP,Molson Coors,Consumer Staples
TDG,TransDigm Group,Industrials
TDY,Teledyne Technologies,Industrials
TECH,Bio-Techne,Health Care
TEL,TE Connectivity,Information Technology
TER,Teradyne,Information Technology
TEVA,Teva Pharmaceuticals,Health Care
TFC,Truist Financial,Financials
TFX,Teleflex,Health Care
TGNA,Tegna,Communication Services
TGT,Target Corporation,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TMUS,T-Mobile US,Communication Services
TPR,Tapestry, Inc.,Consumer Discretionary
TRGP,Targa Resources,Energy
TRMB,Trimble Inc.,Information Technology
TROW,T. Rowe Price,Financials
TRV,The Travelers Companies,Financials
TSCO,Tractor Supply,Consumer Discretionary
TSLA,Tesla, Inc.,Consumer Discretionary
TSN,Tyson Foods,Consumer Staples
TT,Trane Technologies,Industrials
TTWO,Take-Two Interactive,Communication Services
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
TYL,Tyler Technologies,Information Technology
UAL,United Airlines Holdings,Industrials
UBER,Uber Technologies,Industrials
UDR,UDR, Inc.,Real Estate
UHS,Universal Health Services,Health Care
ULTA,Ulta Beauty,Consumer Discretionary
UNH,UnitedHealth Group,Health Care
UNP,Union Pacific Corporation,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
USB,U.S. Bancorp,Financials
V,Visa Inc.,Financials
VALE,Vale S.A.,Materials
VFC,VF Corporation,Consumer Discretionary
VICI,VICI Properties,Real Estate
VLO,Valero Energy,Energy
VLTO,Veralto,Industrials
VMC,Vulcan Materials Company,Materials
VRSK,Verisk,Industrials
VRSN,Verisign,Information Technology
VRTX,Vertex Pharmaceuticals,Health Care
VTR,Ventas,Real Estate
VTRS,Viatris,Health Care
VZ,Verizon,Communication Services
WAB,Wabtec,Industrials
WAT,Waters Corporation,Health Care
WBA,Walgreens Boots Alliance,Consumer Staples
WBD,Warner Bros. Discovery,Communication Services
WDC,Western Digital,Information Technology
WEC,WEC Energy Group,Utilities
WELL,Welltower,Real Estate
WFC,Wells Fargo,Financials
WHR,Whirlpool Corporation,Consumer Discretionary
WM,Waste Management,Industrials
WMB,Williams Companies,Energy
WMT,Walmart,Consumer Staples
WRB,W.R. Berkley,Financials
WST,West Pharmaceutical Services,Health Care
WTW,Willis Towers Watson,Financials
WY,Weyerhaeuser,Real Estate
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XOM,ExxonMobil,Energy
XRAY,Dentsply Sirona,Health Care
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBH,Zimmer Biomet,Health Care
ZBRA,Zebra Technologies,Information Technology
ZION,Zions Bancorporation,Financials
ZTS,Zoetis,Health Care